id,donor_id,donor_name,amount,frequency,fund_id,fund_name,campus_id,campus_name,payment_method,status,start_date,next_charge_date,last_charge_date
rec_461b6ede,donor_95636728,Margaret Murphy,500,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-04-12,2026-02-11,2026-01-05
rec_1e5fa51e,donor_bdf69ead,Nicole Bell,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2022-09-02,2026-02-14,2026-01-01
rec_f8863890,donor_6bce232d,John White,300,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2025-03-04,2026-02-02,2026-01-19
rec_0bd71e6c,donor_aa7c044f,David Adams,50,weekly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2023-11-15,2026-02-24,2026-01-26
rec_f1ab6f75,donor_7bdca8ee,Joshua Morris,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-11-17,2026-02-03,2026-01-25
rec_393ce998,donor_61ed56d2,Jason Martinez,300,monthly,fund_002,General Fund,campus_001,One Life Center,Visa,active,2024-06-01,2026-02-15,2026-01-06
rec_42838ff2,donor_ef3e78ff,Emily Turner,200,monthly,fund_003,General Fund,campus_001,One Life Center,Visa,active,2025-08-19,2026-02-15,2026-01-13
rec_e8e24f67,donor_a85c98ae,Ruth Richardson,25,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2025-03-23,2026-02-20,2026-01-28
rec_df121c2d,donor_32d7f3cb,Cynthia Sanchez,100,monthly,fund_001,Building Fund,campus_001,One Life Center,Amex,active,2023-04-02,2026-02-25,2026-01-29
rec_6e88f79c,donor_48038749,Kenneth Turner,100,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2025-03-27,2026-02-25,2026-01-25
rec_3c89f908,donor_b61bc89b,Kathleen Stewart,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2022-09-18,2026-02-03,2026-01-06
